Start,Generated rewards,Locked,Claimable,Identifier,Yield type,Validator identifier,Asset identifier,Internal account name,Internal account tags,Platform
2025-02-10T00:00:00,0.00014,1,0.006681,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-11T00:00:00,0.00014,1,0.006821,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-12T00:00:00,0.000135,1,0.006961,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-13T00:00:00,0.000131,1,0.007096,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-14T00:00:00,0.000131,1,0.007227,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-15T00:00:00,0.000131,1,0.007358,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-16T00:00:00,0.000131,1,0.007489,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-10T00:00:00,0.00014,1,0.006681,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-11T00:00:00,0.00014,1,0.006821,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-12T00:00:00,0.000135,1,0.006961,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-13T00:00:00,0.000131,1,0.007096,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-14T00:00:00,0.000131,1,0.007227,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-15T00:00:00,0.000131,1,0.007358,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-16T00:00:00,0.000131,1,0.007489,mantra1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3xqfdwv,REWARD,mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,uom,Mantra,[],MANTRA
2025-02-10T00:00:00,3384.567053,12905378.71267,242.184866,celestia1xpvf4c2dndk37jd30lnpsl9szp0vs2m38rf2m2,REWARD,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,utia,Celestia Delegator ,ENTITY 1;CLIENT,CELESTIA
2025-02-11T00:00:00,3390.741109,12905378.71267,3626.751918,celestia1xpvf4c2dndk37jd30lnpsl9szp0vs2m38rf2m2,REWARD,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,utia,Celestia Delegator ,ENTITY 1;CLIENT,CELESTIA
2025-02-12T00:00:00,3396.645782,12905378.71267,7017.493028,celestia1xpvf4c2dndk37jd30lnpsl9szp0vs2m38rf2m2,REWARD,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,utia,Celestia Delegator ,ENTITY 1;CLIENT,CELESTIA
2025-02-13T00:00:00,3388.270607,12905378.71267,10414.138809,celestia1xpvf4c2dndk37jd30lnpsl9szp0vs2m38rf2m2,REWARD,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,utia,Celestia Delegator ,ENTITY 1;CLIENT,CELESTIA
2025-02-14T00:00:00,3390.278905,12905378.71267,13802.409416,celestia1xpvf4c2dndk37jd30lnpsl9szp0vs2m38rf2m2,REWARD,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,utia,Celestia Delegator ,ENTITY 1;CLIENT,CELESTIA
2025-02-15T00:00:00,3404.678318,12905378.71267,17192.688321,celestia1xpvf4c2dndk37jd30lnpsl9szp0vs2m38rf2m2,REWARD,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,utia,Celestia Delegator ,ENTITY 1;CLIENT,CELESTIA
2025-02-16T00:00:00,3429.88454,12905378.71267,20597.366639,celestia1xpvf4c2dndk37jd30lnpsl9szp0vs2m38rf2m2,REWARD,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,utia,Celestia Delegator ,ENTITY 1;CLIENT,CELESTIA
2025-02-10T00:00:00,1102.169762,14804692.176168,0,aleo16hlmhhacvz60amg4fvderydgh7j7204ehl2zxha5al45k6lu35ysw7f7j6,REWARD,aleo1n6c5ugxk6tp09vkrjegcpcprssdfcf7283agcdtt8gu9qex2c5xs9c28ay,native,Aleo Delegator,ENTITY 2;CLIENT A CEFI,ALEO
2025-02-11T00:00:00,939.512836,14810250.78268,0,aleo16hlmhhacvz60amg4fvderydgh7j7204ehl2zxha5al45k6lu35ysw7f7j6,REWARD,aleo1n6c5ugxk6tp09vkrjegcpcprssdfcf7283agcdtt8gu9qex2c5xs9c28ay,native,Aleo Delegator,ENTITY 2;CLIENT A CEFI,ALEO
2025-02-12T00:00:00,774.952126,14815354.789709,0,aleo16hlmhhacvz60amg4fvderydgh7j7204ehl2zxha5al45k6lu35ysw7f7j6,REWARD,aleo1n6c5ugxk6tp09vkrjegcpcprssdfcf7283agcdtt8gu9qex2c5xs9c28ay,native,Aleo Delegator,ENTITY 2;CLIENT A CEFI,ALEO
